HerdCode,HerdName,ScorerName,ScoreDate,Creation Date,CalfID,BirthDate,Calf Age,BodyTemp,BodyWeight,Appetite,Attitude,Nose,Eye,Ear,Cough,Temperature,TotalRespiratoryScore,UltraSound,UltraSoundComment,UScategory,Fecal,Navel,Joint,CalfComment,trtScoreRS,trtScoreNRS,RScategory,BRDCategory,Recheck,trtScore
12345678,RV,EP,6/13/2025,6/13/2025 16:23,409818,6/12/2025,1,102.3,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/14/2025,6/14/2025 11:24,409818,6/12/2025,2,101.8,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/15/2025,6/15/2025 12:44,409818,6/12/2025,3,102.7,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/16/2025,6/16/2025 6:18,409818,6/12/2025,4,102.8,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/13/2025,6/13/2025 16:16,409820,6/12/2025,1,102,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/14/2025,6/14/2025 11:23,409820,6/12/2025,2,101.5,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/15/2025,6/15/2025 12:42,409820,6/12/2025,3,103.1,,0,0,0,0,0,0,3,3,,,,0,0,0,,1,0,ElevatedTemperature,,Recheck,
12345678,RV,EP,6/16/2025,6/16/2025 6:16,409820,6/12/2025,4,101.2,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/13/2025,6/13/2025 16:29,409821,6/12/2025,1,102.3,,0,0,0,0,0,0,2,2,,,,0,1,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/14/2025,6/14/2025 11:25,409821,6/12/2025,2,101.8,,0,0,0,1,0,0,1,2,,,,0,1,0,,0,0,NoDisease,,,
12345678,RV,EP,6/15/2025,6/15/2025 12:47,409821,6/12/2025,3,102.1,,0,0,0,0,0,0,2,2,,,,0,1,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/16/2025,6/16/2025 6:20,409821,6/12/2025,4,101.5,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/13/2025,6/13/2025 12:35,431580,6/12/2025,1,102.3,,0,1,0,0,1,0,2,3,,,,1,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/14/2025,6/14/2025 10:37,431580,6/12/2025,2,102.7,,0,0,0,0,0,0,2,2,,,,1,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/15/2025,6/15/2025 11:04,431580,6/12/2025,3,102.5,,0,0,0,0,0,0,2,2,,,,1,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/16/2025,6/16/2025 5:15,431580,6/12/2025,4,102.5,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/13/2025,6/13/2025 15:45,431581,6/12/2025,1,101.8,,0,0,0,0,0,0,1,1,,,,0,2,0,,0,2,Navel,,,Treatable
12345678,RV,EP,6/14/2025,6/14/2025 11:15,431581,6/12/2025,2,101.9,,0,0,0,0,0,0,1,1,,,,1,1,0,,0,0,NoDisease,,,
12345678,RV,EP,6/15/2025,6/15/2025 12:24,431581,6/12/2025,3,101.8,,0,0,0,0,0,0,1,1,,,,0,1,0,,0,0,NoDisease,,,
12345678,RV,EP,6/16/2025,6/16/2025 6:05,431581,6/12/2025,4,101.3,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/13/2025,6/13/2025 14:55,431592,6/12/2025,1,102.5,,0,1,0,0,0,0,2,2,,,,1,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/14/2025,6/14/2025 11:02,431592,6/12/2025,2,101.8,,0,0,0,0,0,0,1,1,,,,1,1,0,,0,0,NoDisease,,,
12345678,RV,EP,6/15/2025,6/15/2025 12:03,431592,6/12/2025,3,103.4,,0,0,0,0,0,0,3,3,,,,1,0,0,,1,0,ElevatedTemperature,,Recheck,
12345678,RV,EP,6/16/2025,6/16/2025 5:54,431592,6/12/2025,4,102.4,,0,0,0,0,0,0,2,2,,,,0,0,0,,1,0,NoDisease,,Recheck,
12345678,RV,EP,6/13/2025,6/13/2025 14:42,431594,6/12/2025,1,101.6,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,
12345678,RV,EP,6/14/2025,6/14/2025 10:58,431594,6/12/2025,2,102.3,,0,0,0,0,0,0,2,2,,,,0,1,0,,1,0,NoDisease,,Recheck,
